,industry,job_title,description,job_link,job_id,most_advantage,Empl_type,company,city,mex
0,Internet,Associate Editor,"Responsibilities: Work with our staff writers and editor to finalise the day’s stories, edit these and publish online Generate new and unique content/story ideas for our staff writers Coordinate with readers on user-submitted stories Undertake writing assigments as and when needed...",https://www.linkedin.com/jobs?viewJob=&jobId=43010559&trk=api*a130653*s139051*,1000,employee first,full time,Jumpsync,alexandria,"Associate Editor Responsibilities: Work with our staff writers and editor to finalise the day’s stories, edit these and publish online Generate new and unique content/story ideas for our staff writers Coordinate with readers on user-submitted stories Undertake writing assigments as and when needed... employee first full time Jumpsync alexandria"
1,Computer Software,Sales and Marketing Superstar,"- Formulation and execution of sales strategy  - Customer Engagement and Account Management of active accounts - Creation of business partnerships with Digital Marketing Agencies and ecommerce platform vendors - Market Study and Competitor Analysis - Creation of various pricing models - Creating Marketing presence in India, Europe and US - Content Creation and presence in marketing forums - Search...",https://www.linkedin.com/jobs?viewJob=&jobId=44206558&trk=api*a130653*s139051*,1001,creativity,full time,QuickSpace,alexandria,"Sales and Marketing Superstar - Formulation and execution of sales strategy  - Customer Engagement and Account Management of active accounts - Creation of business partnerships with Digital Marketing Agencies and ecommerce platform vendors - Market Study and Competitor Analysis - Creation of various pricing models - Creating Marketing presence in India, Europe and US - Content Creation and presence in marketing forums - Search... creativity full time QuickSpace alexandria"
2,Internet,Visual Designer,"Work with design and product management to create and ensure a consistent visual style to new and redesigned features Develop and maintain design wireframes, mockups, and specifications as needed. Export assets and illustrations for developers. Collaborate with other designers to maintain design consistency and coherence across the product as appropriate. Work with our social media manager to brin...",https://www.linkedin.com/jobs?viewJob=&jobId=47105214&trk=api*a130653*s139051*,1002,employee first,full time,VisionSwipe,al mansoura,"Visual Designer Work with design and product management to create and ensure a consistent visual style to new and redesigned features Develop and maintain design wireframes, mockups, and specifications as needed. Export assets and illustrations for developers. Collaborate with other designers to maintain design consistency and coherence across the product as appropriate. Work with our social media manager to brin... employee first full time VisionSwipe al mansoura"
3,"Telecommunications, Information Technology and Services",Senior Solution Architect - Voice SME,"Senior Solution Architect - Voice SME  will be responsible for -   Create prototype model for solution based on understanding of customer requirements. Provide suctioning support to sales teams for specific deals. Work with Product team to enhance the service offering . May lead important projects that require providing experienced project team members with instruction, guidance and advice in all...",https://www.linkedin.com/jobs?viewJob=&jobId=47115299&trk=api*a130653*s139051*,1003,ease of work,full time,Digimail,al mansoura,"Senior Solution Architect - Voice SME Senior Solution Architect - Voice SME  will be responsible for -   Create prototype model for solution based on understanding of customer requirements. Provide suctioning support to sales teams for specific deals. Work with Product team to enhance the service offering . May lead important projects that require providing experienced project team members with instruction, guidance and advice in all... ease of work full time Digimail al mansoura"
4,Computer Software,Crossover Software Architect - C# - $30/hr,"Ready to make $60,000 USD while working for a fortune 500 company from the comfort of your home? Eager to join a network of the most talented remote workers in the world? If so, this role is for you. Work for Crossover, and you’ll earn the most competitive wages on the market, collaborate with the most skilled teams in your field, and work for the most elite companies in the world. Sound too good...",https://www.linkedin.com/jobs?viewJob=&jobId=44970039&trk=api*a130653*s139051*,1004,routine,part time,Excursy,al mansoura,"Crossover Software Architect - C# - $30/hr Ready to make $60,000 USD while working for a fortune 500 company from the comfort of your home? Eager to join a network of the most talented remote workers in the world? If so, this role is for you. Work for Crossover, and you’ll earn the most competitive wages on the market, collaborate with the most skilled teams in your field, and work for the most elite companies in the world. Sound too good... routine part time Excursy al mansoura"
5,Internet,Android + Ruby : Hands-On Coder / Developer,"Looking for a passioate individual to bring significant value-add to the table in the form of technology, product, passion and experience. We are preferably looking for a techie with product/brand aptitude.  You may read more about us below and then apply: Blog - https://www.linkedin.com/pulse/20141022074021-20921203-yelo-dream-big-and-leave-the-rest-on-execution AngelList - https://angel.co/yelo-...",https://www.linkedin.com/jobs?viewJob=&jobId=41696540&trk=api*a130653*s139051*,1005,routine,full time,GameEight,al mansoura,"Android + Ruby : Hands-On Coder / Developer Looking for a passioate individual to bring significant value-add to the table in the form of technology, product, passion and experience. We are preferably looking for a techie with product/brand aptitude.  You may read more about us below and then apply: Blog - https://www.linkedin.com/pulse/20141022074021-20921203-yelo-dream-big-and-leave-the-rest-on-execution AngelList - https://angel.co/yelo-... routine full time GameEight al mansoura"
6,"Telecommunications, Information Technology and Services",Senior Solution Architect - Voice SME,"Senior Solution Architect - Voice SME  will be responsible for -   Create prototype model for solution based on understanding of customer requirements. Provide suctioning support to sales teams for specific deals. Work with Product team to enhance the service offering . May lead important projects that require providing experienced project team members with instruction, guidance and advice in all...",https://www.linkedin.com/jobs?viewJob=&jobId=47115299&trk=api*a130653*s139051*,1006,ease of work,full time,Conceptual,al mansoura,"Senior Solution Architect - Voice SME Senior Solution Architect - Voice SME  will be responsible for -   Create prototype model for solution based on understanding of customer requirements. Provide suctioning support to sales teams for specific deals. Work with Product team to enhance the service offering . May lead important projects that require providing experienced project team members with instruction, guidance and advice in all... ease of work full time Conceptual al mansoura"
7,Computer Software,Crossover Software Architect - C# - $30/hr,"Ready to make $60,000 USD while working for a fortune 500 company from the comfort of your home? Eager to join a network of the most talented remote workers in the world? If so, this role is for you. Work for Crossover, and you’ll earn the most competitive wages on the market, collaborate with the most skilled teams in your field, and work for the most elite companies in the world. Sound too good...",https://www.linkedin.com/jobs?viewJob=&jobId=44970039&trk=api*a130653*s139051*,1007,routine,full time,Jumpsync,alexandria,"Crossover Software Architect - C# - $30/hr Ready to make $60,000 USD while working for a fortune 500 company from the comfort of your home? Eager to join a network of the most talented remote workers in the world? If so, this role is for you. Work for Crossover, and you’ll earn the most competitive wages on the market, collaborate with the most skilled teams in your field, and work for the most elite companies in the world. Sound too good... routine full time Jumpsync alexandria"
8,Internet,Android + Ruby : Hands-On Coder / Developer,"Looking for a passioate individual to bring significant value-add to the table in the form of technology, product, passion and experience. We are preferably looking for a techie with product/brand aptitude.  You may read more about us below and then apply: Blog - https://www.linkedin.com/pulse/20141022074021-20921203-yelo-dream-big-and-leave-the-rest-on-execution AngelList - https://angel.co/yelo-...",https://www.linkedin.com/jobs?viewJob=&jobId=41696540&trk=api*a130653*s139051*,1008,employee first,part time,Kiddily,aswan,"Android + Ruby : Hands-On Coder / Developer Looking for a passioate individual to bring significant value-add to the table in the form of technology, product, passion and experience. We are preferably looking for a techie with product/brand aptitude.  You may read more about us below and then apply: Blog - https://www.linkedin.com/pulse/20141022074021-20921203-yelo-dream-big-and-leave-the-rest-on-execution AngelList - https://angel.co/yelo-... employee first part time Kiddily aswan"
9,Information Technology and Services,Frontend Developer,"What you will do # Build cross browser compatible front-end applications using HTML, CSS and JavaScript  # Develop fast and highly scalable and responsive applications  # Work closely with a cross-functional team that includes product manager, backend developers, and UI/UX designers  # Collaborate with product managers to make sure all user interactions and features are well-designed &amp; impleme...",https://www.linkedin.com/jobs?viewJob=&jobId=41694880&trk=api*a130653*s139051*,1009,creativity,full time,Dwellsmith,aswan,"Frontend Developer What you will do # Build cross browser compatible front-end applications using HTML, CSS and JavaScript  # Develop fast and highly scalable and responsive applications  # Work closely with a cross-functional team that includes product manager, backend developers, and UI/UX designers  # Collaborate with product managers to make sure all user interactions and features are well-designed &amp; impleme... creativity full time Dwellsmith aswan"
